algorithm,nodes,msg_bytes,nchunks,n_roots,mean_sec,stdev_sec,min_sec,max_sec
pipe,16,67108864,8192,16,0.008121277538,0.0002716921448,0.007651958742,0.008303809214
pipe,16,134217728,16384,16,0.01623373305,0.0005437527333,0.01529461043,0.01659848163
srda,16,8192,1,16,3.723902096e-06,6.663150392e-08,3.635930789e-06,3.876192722e-06
srda,16,16384,1,16,4.220616846e-06,1.08561368e-07,4.062798267e-06,4.486623008e-06
srda,16,24576,1,16,6.104317005e-06,9.110458713e-08,5.975427002e-06,6.351507754e-06
srda,16,32768,1,16,6.925216596e-06,8.979223722e-08,6.779226892e-06,7.097704886e-06
srda,16,49152,1,16,9.608202694e-06,1.123473169e-07,9.367804387e-06,9.787188884e-06
srda,16,65536,1,16,1.175716748e-05,1.292962397e-07,1.148613849e-05,1.196122198e-05
srda,16,262144,1,16,3.72034385e-05,6.048669121e-07,3.637605044e-05,3.842066493e-05
srda,16,1048576,1,16,0.0001277772307,1.581377047e-06,0.0001254872044,0.000130492519
srda,16,4194304,1,16,0.00048163251,5.617639404e-06,0.0004709153725,0.0004895777027
srda,16,16777216,1,16,0.001898393946,2.037411753e-05,0.00185812647,0.001926988958
srda,16,67108864,1,16,0.007565329163,7.932300609e-05,0.007404587409,0.007676633978
srda,16,134217728,1,16,0.01512168521,0.0001575486964,0.0147999276,0.01534282734
